astronaut,date_of_birth,country_of_citizenship
Paul Scully-Power,1944-05-28T00:00:00Z,Australia
Andy Thomas,1951-12-18T00:00:00Z,Australia
Musa Manarov,1951-03-22T00:00:00Z,Azerbaijan
Marianne Merchez,1960-10-25T00:00:00Z,Belgium
Robert Thirsk,1953-08-17T00:00:00Z,Canada
Dafydd Williams,1954-05-16T00:00:00Z,Canada
Steve MacLean,1954-12-14T00:00:00Z,Canada
Thomas Pesquet,1978-02-27T00:00:00Z,France
Takao Doi,1954-09-18T00:00:00Z,Japan
Mamoru Mohri,1948-01-29T00:00:00Z,Japan
Toktar Aubakirov,1946-07-27T00:00:00Z,Kazakhstan
Andreas Mogensen,1976-11-02T00:00:00Z,Kingdom of Denmark
Jing Haipeng,1966-10-24T00:00:00Z,People's Republic of China
Liu Wang,1969-03-25T00:00:00Z,People's Republic of China
Nie Haisheng,1964-10-13T00:00:00Z,People's Republic of China
Ko San,1976-10-19T00:00:00Z,South Korea
Roman Romanenko,1971-08-09T00:00:00Z,Soviet Union
Maksim Surayev,1972-05-24T00:00:00Z,Soviet Union
Yury Glazkov,1939-10-02T00:00:00Z,Soviet Union
Anatoly Berezovoy,1942-04-11T00:00:00Z,Soviet Union
Aleksei Gubarev,1931-03-29T00:00:00Z,Soviet Union
Vladimir Titov,1947-01-01T00:00:00Z,Soviet Union
Aleksandr Pavlovich Aleksandrov,1943-02-20T00:00:00Z,Soviet Union
Vladimir Dzhanibekov,1942-05-13T00:00:00Z,Soviet Union
Oleg Grigoryevich Makarov,1933-01-06T00:00:00Z,Soviet Union
Musa Manarov,1951-03-22T00:00:00Z,Soviet Union
Vladimir Aksyonov,1935-02-01T00:00:00Z,Soviet Union
Toktar Aubakirov,1946-07-27T00:00:00Z,Soviet Union
Gennadi Strekalov,1940-10-26T00:00:00Z,Soviet Union
Gennadi Strekalov,1940-10-28T00:00:00Z,Soviet Union
Viktor Afanasyev,1948-12-31T00:00:00Z,Soviet Union
Gennadi Sarafanov,1942-01-01T00:00:00Z,Soviet Union
Valery Ryumin,1939-08-16T00:00:00Z,Soviet Union
Anatoly Artsebarsky,1956-09-09T00:00:00Z,Soviet Union
Anatolii Levchenko,1941-05-21T00:00:00Z,Soviet Union
Anatoly Filipchenko,1928-02-26T00:00:00Z,Soviet Union
Yuri Baturin,1949-01-01T00:00:00Z,Soviet Union
Yuri Baturin,1949-06-12T00:00:00Z,Soviet Union
Piers Sellers,1955-04-11T00:00:00Z,United Kingdom
Timothy Peake,1972-04-07T00:00:00Z,United Kingdom
Henry Hartsfield,1933-11-21T00:00:00Z,United States of America
William R. Pogue,1930-01-23T00:00:00Z,United States of America
Timothy Creamer,1959-11-15T00:00:00Z,United States of America
David Wolf,1956-08-23T00:00:00Z,United States of America
Eric Boe,1964-10-01T00:00:00Z,United States of America
Douglas H. Wheelock,1960-05-05T00:00:00Z,United States of America
Gregory Chamitoff,1962-08-06T00:00:00Z,United States of America
Story Musgrave,1935-08-19T00:00:00Z,United States of America
Richard R. Arnold,1963-11-26T00:00:00Z,United States of America
Stephen Bowen,1964-02-13T00:00:00Z,United States of America
Vance D. Brand,1931-05-09T00:00:00Z,United States of America
Kathryn D. Sullivan,1951-10-03T00:00:00Z,United States of America
John Danny Olivas,1966-05-25T00:00:00Z,United States of America
Mark L. Polansky,1956-06-02T00:00:00Z,United States of America
Ronald J. Grabe,1945-06-13T00:00:00Z,United States of America
Paul Scully-Power,1944-05-28T00:00:00Z,United States of America
John L. Finley,1935-12-22T00:00:00Z,United States of America
Richard E. Lawyer,1932-11-08T00:00:00Z,United States of America
Brewster H. Shaw,1945-05-16T00:00:00Z,United States of America
Robert L. Gibson,1946-10-30T00:00:00Z,United States of America
John M. Lounge,1946-06-28T00:00:00Z,United States of America
Richard F. Gordon,1929-10-05T00:00:00Z,United States of America
Piers Sellers,1955-04-11T00:00:00Z,United States of America
Andrew J. Feustel,1965-08-25T00:00:00Z,United States of America
Andrew M. Allen,1955-08-04T00:00:00Z,United States of America
Owen K. Garriott,1930-11-22T00:00:00Z,United States of America
Andy Thomas,1951-12-18T00:00:00Z,United States of America
Kenneth Cockrell,1950-04-09T00:00:00Z,United States of America
George Nelson,1950-07-13T00:00:00Z,United States of America
Robert F. Overmyer,1936-07-14T00:00:00Z,United States of America
Jake Garn,1932-10-12T00:00:00Z,United States of America
C. Gordon Fullerton,1936-10-11T00:00:00Z,United States of America
Gregory H. Johnson,1962-05-12T00:00:00Z,United States of America
Shane Kimbrough,1967-06-04T00:00:00Z,United States of America
Thomas Marshburn,1960-08-29T00:00:00Z,United States of America
Richard M. Linnehan,1957-09-19T00:00:00Z,United States of America
Robert L. Behnken,1970-07-28T00:00:00Z,United States of America
James S. Voss,1949-03-03T00:00:00Z,United States of America
Guion Bluford,1942-11-22T00:00:00Z,United States of America
Robert A. Parker,1936-12-14T00:00:00Z,United States of America